Name,Number,Height(inches)
Maicer_Izturis,1,68
Chone_Figgins,2,68
Brian_Roberts,3,69
Miguel_Tejada,4,69
Corey_Patterson,5,69
Tadahito_Iguchi,6,69
Jay_Payton,7,70
Pablo_Ozuna,8,70
Rob_Mackowiak,9,70
Howie_Kendrick,10,70
Orlando_Cabrera,11,70
Erick_Aybar,12,70
Melvin_Mora,13,71
Adam_Stern,14,71
John_Parrish,15,71
Juan_Uribe,16,71
Reggie_Willits,17,71
Bartolo_Colon,18,71
Ramon_Hernandez,19,72
Kevin_Millar,20,72
Jay_Gibbons,21,72
Scott_Williamson,22,72
Scott_Podsednik,23,72
Jeff_Mathis,24,72
Mike_Napoli,25,72
Tommy_Murphy,26,72
Francisco_Rodriguez,27,72
Chris_Gomez,28,73
Jeff_Fiorentino,29,73
Freddie_Bynum,30,73
Erik_Bedard,31,73
Brian_Burres,32,73
Sendy_Rleal,33,73
Jeremy_Guthrie,34,73
Joe_Crede,35,73
Josh_Fields,36,73
Charlie_Haeger,37,73
Kendry_Morales,38,73
Shea_Hillenbrand,39,73
Robb_Quinlan,40,73
Kelvim_Escobar,41,73
Phil_Seibel,42,73
Scot_Shields,43,73
Doug_Mirabelli,44,73
Adam_Donachie,45,74
Paul_Bako,46,74
Nick_Markakis,47,74
Brandon_Fahey,48,74
Jaret_Wright,49,74
Jamie_Walker,50,74
Kurt_Birkins,51,74
Paul_Konerko,52,74
Alex_Cintron,53,74
Brian_N._Anderson,54,74
Luis_Terrero,55,74
Darin_Erstad,56,74
Javier_Vazquez,57,74
Mark_Buehrle,58,74
Jose_Molina,59,74
Juan_Rivera,60,74
Ervin_Santana,61,74
Joe_Saunders,62,74
Darren_Oliver,63,74
Hector_Carrasco,64,74
Greg_Jones,65,74
Jason_Varitek,66,74
Hayden_Penn,67,75
Danys_Baez,68,75
Chris_Ray,69,75
A.J._Pierzynski,70,75
Toby_Hall,71,75
Jerry_Owens,72,75
Heath_Phillips,73,75
Bobby_Jenks,74,75
Sean_Tracey,75,75
Casey_Kotchman,76,75
Terry_Evans,77,75
Gary_Matthews_Jr.,78,75
Garret_Anderson,79,75
Vladimir_Guerrero,80,75
Chris_Resop,81,75
Aubrey_Huff,82,76
Steve_Trachsel,83,76
Kris_Benson,84,76
Ryan_Sweeney,85,76
Jim_Thome,86,76
Gavin_Floyd,87,76
Jose_Contreras,88,76
Mike_MacDougal,89,76
Nick_Masset,90,76
Dallas_McPherson,91,76
Dustin_Moseley,92,76
Justin_Speier,93,76
Chad_Bradford,94,77
Jermaine_Dye,95,77
David_Aardsma,96,77
Boone_Logan,97,77
Adam_Loewen,98,78
James_Hoey,99,78
Jon_Garland,100,78
Matt_Thornton,101,78
John_Lackey,102,78
Daniel_Cabrera,103,79
Jered_Weaver,104,79
Andrew_Sisco,105,81
