Height(inches),Weight(pounds)
74,180
74,215
72,210
72,210
73,188
69,176
69,209
71,200
76,231
71,180
73,188
73,180
74,185
74,160
69,180
70,185
72,197
73,189
75,185
78,219
79,230
76,205
74,230
76,195
72,180
71,192
75,225
77,203
74,195
73,182
74,188
78,200
73,180
75,200
73,200
75,245
75,240
74,215
69,185
71,175
74,199
73,200
73,215
76,200
74,205
74,206
70,186
72,188
77,220
74,210
70,195
76,244
75,195
73,200
75,200
76,212
76,224
78,210
74,205
74,220
76,195
77,200
81,260
78,228
75,270
77,200
75,210
76,190
74,220
72,180
72,205
75,210
73,220
73,211
73,200
70,180
70,190
70,170
76,230
68,155
71,185
72,185
75,200
75,225
75,225
75,220
68,160
74,205
78,235
71,250
73,210
76,190
74,160
74,200
79,205
75,222
73,195
76,205
74,220
74,220
73,170
72,185
74,195
73,220
74,230
