Name,Number,Height(inches)
Adam_Donachie,1,74
Paul_Bako,2,74
Ramon_Hernandez,3,72
Kevin_Millar,4,72
Chris_Gomez,5,73
Brian_Roberts,6,69
Miguel_Tejada,7,69
Melvin_Mora,8,71
Aubrey_Huff,9,76
Adam_Stern,10,71
Jeff_Fiorentino,11,73
Freddie_Bynum,12,73
Nick_Markakis,13,74
Brandon_Fahey,14,74
Corey_Patterson,15,69
Jay_Payton,16,70
Jay_Gibbons,17,72
Erik_Bedard,18,73
Hayden_Penn,19,75
Adam_Loewen,20,78
Daniel_Cabrera,21,79
Steve_Trachsel,22,76
Jaret_Wright,23,74
Kris_Benson,24,76
Scott_Williamson,25,72
John_Parrish,26,71
Danys_Baez,27,75
Chad_Bradford,28,77
Jamie_Walker,29,74
Brian_Burres,30,73
Kurt_Birkins,31,74
James_Hoey,32,78
Sendy_Rleal,33,73
Chris_Ray,34,75
Jeremy_Guthrie,35,73
A.J._Pierzynski,36,75
Toby_Hall,37,75
Paul_Konerko,38,74
Tadahito_Iguchi,39,69
Juan_Uribe,40,71
Alex_Cintron,41,74
Joe_Crede,42,73
Josh_Fields,43,73
Ryan_Sweeney,44,76
Brian_N._Anderson,45,74
Luis_Terrero,46,74
Pablo_Ozuna,47,70
Scott_Podsednik,48,72
Jermaine_Dye,49,77
Darin_Erstad,50,74
Rob_Mackowiak,51,70
Jim_Thome,52,76
Jerry_Owens,53,75
Charlie_Haeger,54,73
Heath_Phillips,55,75
Gavin_Floyd,56,76
Jose_Contreras,57,76
Jon_Garland,58,78
Javier_Vazquez,59,74
Mark_Buehrle,60,74
Mike_MacDougal,61,76
David_Aardsma,62,77
Andrew_Sisco,63,81
Matt_Thornton,64,78
Bobby_Jenks,65,75
Boone_Logan,66,77
Sean_Tracey,67,75
Nick_Masset,68,76
Jose_Molina,69,74
Jeff_Mathis,70,72
Mike_Napoli,71,72
Casey_Kotchman,72,75
Kendry_Morales,73,73
Shea_Hillenbrand,74,73
Robb_Quinlan,75,73
Howie_Kendrick,76,70
Orlando_Cabrera,77,70
Erick_Aybar,78,70
Dallas_McPherson,79,76
Maicer_Izturis,80,68
Reggie_Willits,81,71
Tommy_Murphy,82,72
Terry_Evans,83,75
Gary_Matthews_Jr.,84,75
Garret_Anderson,85,75
Vladimir_Guerrero,86,75
Chone_Figgins,87,68
Juan_Rivera,88,74
John_Lackey,89,78
Bartolo_Colon,90,71
Kelvim_Escobar,91,73
Dustin_Moseley,92,76
Ervin_Santana,93,74
Joe_Saunders,94,74
Jered_Weaver,95,79
Chris_Resop,96,75
Phil_Seibel,97,73
Justin_Speier,98,76
Darren_Oliver,99,74
Hector_Carrasco,100,74
Scot_Shields,101,73
Francisco_Rodriguez,102,72
Greg_Jones,103,74
Doug_Mirabelli,104,73
Jason_Varitek,105,74
